1 43   134 58   265 30   349 21   
2 56   135 43   266 8   350 34   
3 37   136 24   267 52   351 15   
4 5   137 46   268 20   352 55   
5 22   138 9   269 0   353 37   
6 55   139 5   270 20   354 46   
7 34   140 8   271 56   355 43   
8 25   141 3   272 40   356 12   
9 61   142 52   273 26   357 11   
10 38   143 60   274 12   358 47   
11 49   144 12   275 21   359 34   
12 1   121 38   276 23   360 10   
13 20   122 11   277 48   337 33   
14 18   123 55   278 40   338 27   
15 50   124 15   279 0   339 41   
16 29   125 7   280 16   340 44   
17 26   126 41   281 13   341 4   
18 7   127 33   282 42   342 55   
19 16   128 38   283 25   343 53   
20 29   129 55   284 1   344 14   
21 13   130 61   285 48   345 39   
22 29   131 42   286 57   346 20   
23 13   132 0   287 54   347 28   
24 55   133 18   288 40   348 27   
25 16   98 25   181 53   289 38   
26 17   99 52   182 43   290 2   
27 0   100 50   183 41   291 15   
28 56   101 15   184 2   292 30   
29 26   102 61   185 11   293 52   
30 53   103 16   186 25   294 38   
31 39   104 61   187 48   295 13   
32 52   105 15   188 24   296 37   
33 50   106 9   189 59   297 24   
34 29   107 1   190 14   298 55   
35 11   108 61   191 52   299 26   
36 49   109 58   192 23   300 8   
37 6   110 41   169 54   301 32   
38 20   111 42   170 29   302 57   
39 34   112 56   171 8   303 43   
40 38   113 16   172 25   304 53   
41 61   114 24   173 46   305 33   
42 31   115 22   174 59   306 44   
43 39   116 24   175 11   307 2   
44 57   117 48   176 7   308 22   
45 21   118 8   177 36   309 62   
46 38   119 60   178 47   310 12   
47 46   120 20   179 5   311 55   
48 18   97 46   180 31   312 9   
49 32   227 19   283 10   297 47   
50 30   228 21   284 43   298 58   
51 50   229 59   285 9   299 24   
52 5   230 55   286 20   300 46   
53 36   231 58   287 45   301 10   
54 54   232 26   288 39   302 17   
55 23   233 8   265 58   303 49   
56 7   234 55   266 42   304 33   
57 43   235 21   267 58   305 30   
58 9   236 44   268 35   306 57   
59 30   237 4   269 39   307 52   
60 18   238 40   270 55   308 27   
61 14   239 27   271 42   309 5   
62 60   240 10   272 25   310 51   
63 56   217 2   273 15   311 30   
64 13   218 26   274 4   312 41   
65 4   219 13   275 26   289 41   
66 43   220 6   276 15   290 28   
67 48   221 22   277 7   291 57   
68 35   222 0   278 26   292 48   
69 8   223 17   279 45   293 30   
70 62   224 36   280 21   294 8   
71 42   225 51   281 16   295 1   
72 4   226 39   282 30   296 52   
